SubjectEntity,Relation,F1-score
A. R. Rahman,PersonLanguage,0
Abdullah Gül,PersonLanguage,0
Adele,PersonLanguage,0
Akon,PersonLanguage,0
Akshay Kumar,PersonLanguage,0
Avril Lavigne,PersonLanguage,0
Barack Obama,PersonLanguage,0
Beyoncé,PersonLanguage,0
Bill Clinton,PersonLanguage,0
Blaise Matuidi,PersonLanguage,0
Buzz Aldrin,PersonLanguage,0
Donald Trump,PersonLanguage,0
Donald Tusk,PersonLanguage,0
Eminem,PersonLanguage,0
Emma Watson,PersonLanguage,0
Genelia D'Souza,PersonLanguage,0
George Harrison,PersonLanguage,0
Henrique Capriles Radonski,PersonLanguage,0
Hugo Chávez,PersonLanguage,0
Jeremy Renner,PersonLanguage,0
Jessie J,PersonLanguage,0
Jim Carrey,PersonLanguage,0
Joe Biden,PersonLanguage,0
John Cena,PersonLanguage,0
Jose Michimani,PersonLanguage,0
Kobe Bryant,PersonLanguage,0
Maria Sharapova,PersonLanguage,0
Mariah Carey,PersonLanguage,0
Mick Foley,PersonLanguage,0
Miranda Cosgrove,PersonLanguage,0
Mohammed bin Rashid Al Maktoum,PersonLanguage,0
Novak Djokovic,PersonLanguage,0
Oscar dos Santos Emboaba Júnior,PersonLanguage,0
Paris Hilton,PersonLanguage,0
Patrick Stewart,PersonLanguage,0
Pau Gasol,PersonLanguage,0
Paulo Coelho,PersonLanguage,0
Rafael Nadal,PersonLanguage,0
Ricky Gervais,PersonLanguage,0
Rihanna,PersonLanguage,0
Sachin,PersonLanguage,0
Salman Khan,PersonLanguage,0
Samir Nasri,PersonLanguage,0
Selena Gomez,PersonLanguage,0
Skrillex,PersonLanguage,0
Thiago Alcântara,PersonLanguage,0
Vladimir Putin,PersonLanguage,0
Wiz Khalifa,PersonLanguage,0
Zac Efron,PersonLanguage,0
Zlatan Ibrahimović,PersonLanguage,0
